MY,Model,Description,Package,Generic Color,Color
2026,85432A4S,TUCSON SEL AWD,01-Standard,ECOTRONIC GRAY,PE2 / NNB
2026,85432A4S,TUCSON SEL AWD,01-Standard,SERENITY WHITE,W6H / MMH
2026,85432A4S,TUCSON SEL AWD,01-Standard,SERENITY WHITE,W6H / MMH
2026,85432A4S,TUCSON SEL AWD,01-Standard,ECOTRONIC GRAY,PE2 / NNB
2026,85432A4S,TUCSON SEL AWD,01-Standard,PHANTOM BLACK,S3B / NNB
2026,85432A4S,TUCSON SEL AWD,01-Standard,SERENITY WHITE,W6H / NNB
2026,85432A4S,TUCSON SEL AWD,01-Standard,ROCKWOOD GREEN,WG2 / MMH
2026,85432A4S,TUCSON SEL AWD,01-Standard,HAMPTON GRAY,NT2 / MMH
2026,85432A4S,TUCSON SEL AWD,01-Standard,SERENITY WHITE,W6H / MMH
2026,85432A4S,TUCSON SEL AWD,01-Standard,HAMPTON GRAY,NT2 / MMH
2026,85432A4S,TUCSON SEL AWD,01-Standard,ECOTRONIC GRAY,PE2 / MMH
2026,85432A4S,TUCSON SEL AWD,01-Standard,ECOTRONIC GRAY,PE2 / NNB
2026,85432A4S,TUCSON SEL AWD,01-Standard,PHANTOM BLACK,S3B / MMH
2026,85432A4S,TUCSON SEL AWD,01-Standard,SERENITY WHITE,W6H / MMH
2026,85432A4S,TUCSON SEL AWD,01-Standard,SERENITY WHITE,W6H / NNB
2026,85432A4S,TUCSON SEL AWD,01-Standard,ATLANTIS BLUE,TB2 / NNB
2026,85432A4S,TUCSON SEL AWD,01-Standard,HAMPTON GRAY,NT2 / NNB
2026,85432A4S,TUCSON SEL AWD,01-Standard,ATLANTIS BLUE,TB2 / NNB
2026,30452F45,VENUE SEL W/ 2-TONE ROOF,01-Standard,LUNAR WHITE / BLACK ROOF,SA0 +A1:F108
